epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.4659,1.70199,4.59632,3.17399,1.73108,0.0083,0.61417,0.15101,0.09733,0.00773,0.57218,0.13991,0.09058,1.48867,3.33585,5.09367,1.65483,0.00032,0.00032,0.00032
2,17.3189,1.30491,2.77357,2.47037,1.32957,0.76761,0.05203,0.17915,0.11274,0.72888,0.04941,0.15808,0.0924,1.74377,3.97352,4.82576,1.88138,0.000646932,0.000646932,0.000646932
3,21.4325,1.38655,2.65228,2.14797,1.36914,0.81742,0.09449,0.20624,0.13562,0.84286,0.09449,0.17055,0.09096,1.63198,10.9809,3.88076,1.64877,0.0009604,0.0009604,0.0009604
4,33.3524,1.36661,2.49954,2.01934,1.35111,0.35004,0.19685,0.16118,0.10003,0.31986,0.16273,0.12768,0.06159,1.99135,13.5351,4.73495,2.80121,0.0012604,0.0012604,0.0012604
5,35.816,1.36373,2.55553,1.99957,1.35343,0.51344,0.14436,0.17804,0.1055,0.49537,0.13656,0.16661,0.10166,2.38847,10.3709,5.1741,2.8759,0.00154694,0.00154694,0.00154694
6,38.2434,1.35923,2.51682,1.90972,1.33649,0.2032,0.14961,0.08322,0.036,0.12693,0.08891,0.03632,0.01134,2.63258,15.3654,6.42607,2.77499,0.001802,0.001802,0.001802
7,66.1711,1.29339,2.39751,1.81267,1.31816,0.2747,0.27297,0.15695,0.07875,0.21873,0.17585,0.08613,0.03506,2.03241,13.3669,6.38311,2.52877,0.0017624,0.0017624,0.0017624
8,117.988,1.28564,2.45169,1.68949,1.30229,0.514,0.36745,0.35408,0.21518,0.49324,0.36745,0.34433,0.21845,2.06303,4.60184,5.32713,2.34305,0.0017228,0.0017228,0.0017228
9,120.577,1.26519,2.32818,1.62283,1.3061,0.377,0.37795,0.27857,0.18459,0.35651,0.33071,0.24501,0.16452,1.94238,6.7149,4.3346,2.00514,0.0016832,0.0016832,0.0016832
10,123.017,1.26602,2.18627,1.58072,1.25537,0.26776,0.31759,0.20124,0.12078,0.35481,0.2336,0.18178,0.11047,2.0538,5.87697,11.1861,2.34915,0.0016436,0.0016436,0.0016436
