epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,170.07,1.46309,3.17696,2.47952,1.40596,0.4435,0.23273,0.21684,0.12873,0.29948,0.10278,0.09515,0.05183,1.40657,2.68781,1.7861,1.31176,0.000332305,0.000332305,0.000332305
2,242.814,1.33798,2.70407,1.65233,1.31742,0.43823,0.26264,0.24665,0.14776,0.31594,0.15559,0.13113,0.0688,1.36867,2.64286,1.6824,1.31891,0.000652458,0.000652458,0.000652458
3,314.955,1.30929,2.59606,1.51388,1.30231,0.46355,0.27936,0.27821,0.17256,0.3461,0.16654,0.15409,0.08606,1.29824,2.48317,1.50162,1.29134,0.000959412,0.000959412,0.000959412
4,392.372,1.27697,2.52603,1.42481,1.2892,0.5045,0.29194,0.2884,0.18101,0.35129,0.16207,0.14498,0.0844,1.27729,2.4327,1.39946,1.28338,0.0009406,0.0009406,0.0009406
5,463.051,1.2375,2.43794,1.35189,1.26852,0.52039,0.30565,0.3044,0.1895,0.37716,0.20221,0.1722,0.08916,1.24351,2.32988,1.33652,1.25908,0.0009208,0.0009208,0.0009208
6,535.145,1.21948,2.40706,1.31431,1.26257,0.5362,0.31045,0.3208,0.20269,0.37467,0.20676,0.17963,0.09944,1.19881,2.27127,1.28991,1.23449,0.000901,0.000901,0.000901
7,605.911,1.18813,2.34033,1.26941,1.24572,0.62494,0.32192,0.33544,0.2153,0.45255,0.2151,0.18863,0.10215,1.19234,2.2436,1.23466,1.22217,0.0008812,0.0008812,0.0008812
8,788.96,1.17366,2.31566,1.24118,1.23669,0.61744,0.32783,0.33901,0.21842,0.45321,0.2133,0.18421,0.10037,1.1826,2.19428,1.21876,1.22687,0.0008614,0.0008614,0.0008614
9,1096.66,1.16043,2.29502,1.21367,1.23021,0.60261,0.3321,0.3405,0.21646,0.46014,0.22623,0.19413,0.10343,1.15969,2.15573,1.20544,1.21912,0.0008416,0.0008416,0.0008416
10,1170.28,1.14161,2.26216,1.19937,1.22392,0.63315,0.33238,0.35166,0.22468,0.47114,0.22408,0.20322,0.11221,1.15635,2.16138,1.1757,1.21946,0.0008218,0.0008218,0.0008218
11,1329.04,1.14265,2.25597,1.18819,1.22232,0.5749,0.34497,0.35573,0.23321,0.4184,0.23987,0.20511,0.11314,1.12598,2.11839,1.16611,1.20105,0.000802,0.000802,0.000802
12,1399.84,1.12886,2.22698,1.16467,1.21587,0.5963,0.33483,0.35646,0.23348,0.44801,0.23088,0.20399,0.11393,1.13201,2.1101,1.14976,1.19169,0.0007822,0.0007822,0.0007822
13,1522.15,1.12183,2.2291,1.15079,1.20962,0.63916,0.33536,0.35868,0.23468,0.48817,0.23545,0.21028,0.11574,1.12736,2.08417,1.14386,1.1986,0.0007624,0.0007624,0.0007624
14,1592.71,1.1013,2.19352,1.13877,1.20201,0.61003,0.32865,0.34307,0.22812,0.46969,0.22524,0.19896,0.11047,1.1151,2.08443,1.15833,1.18326,0.0007426,0.0007426,0.0007426
15,1663.28,1.0956,2.17416,1.12615,1.19947,0.62007,0.34387,0.36843,0.24583,0.4913,0.25121,0.22611,0.12399,1.09131,2.05236,1.09238,1.17713,0.0007228,0.0007228,0.0007228
16,1734.33,1.09179,2.16608,1.11096,1.19711,0.63992,0.34937,0.37308,0.24723,0.51223,0.25389,0.22487,0.12042,1.09372,2.04033,1.08726,1.18256,0.000703,0.000703,0.000703
17,1807.02,1.08614,2.15069,1.1001,1.19365,0.62803,0.34784,0.35689,0.23967,0.50528,0.24696,0.2159,0.11789,1.07577,2.03558,1.09625,1.17259,0.0006832,0.0006832,0.0006832
18,1877.97,1.0762,2.13217,1.09036,1.18932,0.62959,0.35377,0.37143,0.24521,0.48889,0.25334,0.22466,0.12426,1.08336,2.01622,1.0998,1.18163,0.0006634,0.0006634,0.0006634
19,1948.46,1.06522,2.12157,1.07842,1.18437,0.67462,0.35138,0.3761,0.24864,0.53452,0.25351,0.22955,0.12608,1.09005,2.01829,1.07487,1.17467,0.0006436,0.0006436,0.0006436
20,2022.94,1.06381,2.12392,1.07229,1.17999,0.65842,0.35257,0.37997,0.25399,0.5452,0.26069,0.23885,0.13009,1.07317,1.99755,1.05979,1.16559,0.0006238,0.0006238,0.0006238
21,2093.8,1.05915,2.11642,1.06103,1.17915,0.66778,0.35712,0.38252,0.2539,0.52571,0.25897,0.23438,0.12717,1.06658,1.98218,1.04636,1.16744,0.000604,0.000604,0.000604
22,2164.58,1.04864,2.08689,1.05529,1.17382,0.64581,0.35632,0.37944,0.25367,0.52718,0.26404,0.23799,0.1316,1.04908,1.99325,1.04539,1.14829,0.0005842,0.0005842,0.0005842
23,2235.75,1.04858,2.09468,1.05127,1.1728,0.65693,0.36237,0.3873,0.26047,0.51547,0.26412,0.2358,0.13135,1.04698,1.96911,1.0335,1.1525,0.0005644,0.0005644,0.0005644
24,2306.81,1.03982,2.08361,1.04126,1.16837,0.65688,0.35538,0.37687,0.25559,0.5251,0.26373,0.23586,0.12897,1.04261,1.95324,1.03202,1.15543,0.0005446,0.0005446,0.0005446
25,2377.9,1.04596,2.07514,1.03724,1.17032,0.66883,0.36206,0.38584,0.26195,0.53853,0.27357,0.24675,0.13406,1.02756,1.94851,1.01774,1.149,0.0005248,0.0005248,0.0005248
26,2448.88,1.02533,2.04493,1.01732,1.16177,0.67032,0.36358,0.39025,0.26301,0.54836,0.2681,0.24533,0.13427,1.04202,1.95296,1.01165,1.14754,0.000505,0.000505,0.000505
27,2519.82,1.02387,2.05578,1.01993,1.15883,0.68425,0.36413,0.38998,0.26359,0.56666,0.26762,0.2475,0.13726,1.03898,1.92907,1.01001,1.14987,0.0004852,0.0004852,0.0004852
28,2590.64,1.02192,2.04971,1.01162,1.15802,0.65844,0.36414,0.38654,0.26194,0.53081,0.27296,0.2447,0.13465,1.03068,1.93072,1.01096,1.14594,0.0004654,0.0004654,0.0004654
29,2661.36,1.01341,2.03812,1.00337,1.15587,0.67833,0.36537,0.39386,0.26711,0.54595,0.27123,0.24566,0.13585,1.02422,1.91775,0.99181,1.14219,0.0004456,0.0004456,0.0004456
30,2732.23,1.01098,2.02999,0.99596,1.15498,0.69807,0.3621,0.39476,0.26793,0.5505,0.26681,0.24579,0.13644,1.01871,1.92192,0.99061,1.13154,0.0004258,0.0004258,0.0004258
31,2803.52,1.00556,2.01896,0.99017,1.14983,0.65897,0.36734,0.39282,0.26809,0.525,0.27155,0.24557,0.13618,1.01998,1.92073,0.98988,1.13983,0.000406,0.000406,0.000406
32,2874.41,1.00528,2.01339,0.98439,1.14829,0.6678,0.36395,0.39128,0.26532,0.5236,0.27657,0.24724,0.13597,1.02884,1.92022,0.99307,1.14293,0.0003862,0.0003862,0.0003862
33,2945.05,0.99463,2.00342,0.97433,1.14413,0.66471,0.37028,0.39452,0.26921,0.54454,0.2774,0.25384,0.13903,1.00895,1.90614,0.98076,1.13172,0.0003664,0.0003664,0.0003664
34,3016.37,0.99882,2.00673,0.97272,1.14503,0.68737,0.36553,0.3971,0.27091,0.55979,0.27403,0.25179,0.13942,1.01465,1.90159,0.97618,1.13351,0.0003466,0.0003466,0.0003466
35,3087.13,0.99325,1.99451,0.96766,1.14289,0.68619,0.36746,0.3978,0.27225,0.56105,0.27487,0.25135,0.14007,1.00716,1.89387,0.96879,1.13268,0.0003268,0.0003268,0.0003268
36,3158.18,0.98833,1.98633,0.95968,1.13796,0.6848,0.36384,0.39817,0.27275,0.54419,0.2772,0.25446,0.14125,0.99697,1.89121,0.95973,1.13273,0.000307,0.000307,0.000307
37,3229.38,0.97946,1.97894,0.95543,1.13489,0.69066,0.37163,0.40255,0.27447,0.56193,0.27573,0.25461,0.14151,0.99634,1.88864,0.96023,1.12814,0.0002872,0.0002872,0.0002872
38,3300.59,0.97899,1.96709,0.94912,1.1351,0.68919,0.36925,0.40034,0.27448,0.5511,0.27985,0.25543,0.1414,1.00108,1.87261,0.96092,1.13215,0.0002674,0.0002674,0.0002674
