epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.7951,1.85479,5.26562,3.20639,1.8302,0.00671,0.5,0.0785,0.05338,0.00636,0.47419,0.07761,0.05097,1.1814,2.66994,2.97188,1.1882,0.00026,0.00026,0.00026
2,16.1822,1.18049,2.42976,2.46225,1.24314,0.00948,0.70645,0.25402,0.14829,0.009,0.67097,0.15121,0.07566,1.29879,5.19834,2.91609,1.31773,0.000529308,0.000529308,0.000529308
3,18.4556,1.22099,2.39019,1.96345,1.27741,0.64909,0.23271,0.27728,0.18926,0.6605,0.22903,0.27261,0.1639,1.31357,3.51787,2.6745,1.40551,0.000787528,0.000787528,0.000787528
4,20.7399,1.24274,2.20506,1.7342,1.25644,0.53264,0.18382,0.21397,0.13541,0.56259,0.19916,0.23255,0.12883,1.3228,4.14832,2.70298,1.35281,0.00103466,0.00103466,0.00103466
5,22.8264,1.19283,2.08883,1.71977,1.26702,0.39154,0.19032,0.16664,0.09029,0.2596,0.22258,0.14865,0.0572,1.56786,6.13738,2.85414,1.69448,0.0012707,0.0012707,0.0012707
6,24.9009,1.28253,2.32075,1.66791,1.2771,0.50216,0.20323,0.20313,0.10727,0.4117,0.22124,0.19677,0.0925,1.60642,7.13825,2.77135,1.87831,0.00149566,0.00149566,0.00149566
7,26.9675,1.23916,2.27364,1.58831,1.27406,0.484,0.2871,0.28609,0.17124,0.52962,0.25484,0.27838,0.14377,1.68984,4.49097,2.45116,1.90528,0.00170953,0.00170953,0.00170953
8,29.3464,1.25949,2.22284,1.54579,1.24605,0.54472,0.34839,0.36571,0.23146,0.42462,0.29677,0.26788,0.1354,1.39663,5.53562,2.09397,1.53122,0.0017228,0.0017228,0.0017228
9,46.6525,1.24776,2.17952,1.47877,1.23893,0.61785,0.31814,0.34839,0.20608,0.54188,0.28065,0.2863,0.16169,1.60352,5.75833,2.3522,1.82094,0.0016832,0.0016832,0.0016832
10,48.906,1.20182,2.22881,1.43882,1.23874,0.03796,0.37097,0.028,0.01598,0.03931,0.26771,0.02574,0.01411,1.50988,4.70043,9.15117,1.61076,0.0016436,0.0016436,0.0016436
11,50.9804,1.17135,2.0783,1.37076,1.2129,0.54321,0.38065,0.43069,0.26866,0.66004,0.33548,0.43037,0.24192,1.39947,3.09184,1.91657,1.43788,0.001604,0.001604,0.001604
12,53.1954,1.1094,1.93395,1.29036,1.20983,0.51696,0.46452,0.45281,0.26896,0.56102,0.42903,0.4461,0.2541,1.52892,2.96893,1.78467,1.55441,0.0015644,0.0015644,0.0015644
13,55.4284,1.16986,2.0302,1.28406,1.2132,0.53214,0.42581,0.42379,0.26576,0.5875,0.39677,0.42387,0.25534,1.40103,2.8392,1.99305,1.44373,0.0015248,0.0015248,0.0015248
14,57.5062,1.14762,1.97091,1.2209,1.19137,0.60343,0.48387,0.5178,0.3274,0.59448,0.47762,0.50913,0.31755,1.32079,2.8537,1.67148,1.33998,0.0014852,0.0014852,0.0014852
15,74.3914,1.09385,1.85253,1.16108,1.16261,0.75558,0.46129,0.55467,0.3411,0.73142,0.44839,0.53693,0.35391,1.31925,2.37074,1.4368,1.31753,0.0014456,0.0014456,0.0014456
16,76.6505,1.12361,1.93849,1.18471,1.18993,0.61933,0.45484,0.50729,0.31503,0.67797,0.42258,0.50295,0.319,1.35188,2.38755,1.72878,1.36198,0.001406,0.001406,0.001406
17,78.7299,1.10257,1.93743,1.17334,1.18396,0.62495,0.4871,0.52892,0.33807,0.62908,0.49032,0.52704,0.3276,1.27437,2.29851,1.56482,1.25835,0.0013664,0.0013664,0.0013664
18,80.8087,1.14136,2.01356,1.17671,1.20022,0.68732,0.49355,0.56461,0.35817,0.6716,0.48818,0.55528,0.34237,1.2652,2.39057,1.61243,1.24413,0.0013268,0.0013268,0.0013268
