epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,172.865,1.84725,2.98716,14.445,1.49136,0.45624,0.39017,0.34033,0.14695,0.47141,0.36705,0.33737,0.14368,1.985,3.19488,3.47257,1.78072,0.000663317,0.000663317,0.000663317
2,304.039,1.98242,2.95176,3.02532,1.63691,0.30856,0.29624,0.22135,0.09619,0.34027,0.28902,0.22977,0.09274,2.28061,3.41183,3.21438,2.06415,0.00131682,0.00131682,0.00131682
3,425.87,1.95723,2.85296,2.43712,1.70615,0.53278,0.4104,0.38665,0.14582,0.48511,0.42052,0.36989,0.15164,2.3064,3.38625,3.79224,2.02446,0.00195712,0.00195712,0.00195712
4,566.734,2.02754,3.06739,2.31555,1.81198,0.50855,0.40173,0.40334,0.16709,0.50292,0.40607,0.39425,0.16118,2.06927,3.14532,4.26072,2.1039,0.0019406,0.0019406,0.0019406
5,704.057,1.96906,2.80279,2.44331,1.75979,0.51761,0.40751,0.41031,0.17526,0.51868,0.41111,0.41402,0.1733,2.0532,3.27085,2.29295,1.95533,0.0019208,0.0019208,0.0019208
6,843.642,1.82409,2.5883,1.7952,1.67333,0.56712,0.46387,0.49375,0.22799,0.55829,0.45665,0.48002,0.21512,1.91447,2.92011,1.90281,1.82313,0.001901,0.001901,0.001901
7,980.785,1.81584,2.63145,1.50848,1.65129,0.51313,0.4711,0.48082,0.2206,0.51931,0.44962,0.46202,0.20144,1.93642,2.93547,1.81689,1.80025,0.0018812,0.0018812,0.0018812
8,1118.56,1.70205,2.51997,1.4086,1.61556,0.55448,0.49277,0.50197,0.23894,0.54543,0.47543,0.48061,0.21947,1.95525,2.81089,1.6314,1.81128,0.0018614,0.0018614,0.0018614
9,1254.93,1.58325,2.3368,1.28001,1.46574,0.51508,0.48699,0.49216,0.24156,0.51372,0.47784,0.4762,0.23055,1.92101,2.81001,1.67313,1.80579,0.0018416,0.0018416,0.0018416
10,1393.5,1.5992,2.29856,1.23142,1.50605,0.60323,0.50289,0.5528,0.27166,0.65121,0.4711,0.54898,0.25372,1.87642,2.92634,1.68767,1.77786,0.0018218,0.0018218,0.0018218
11,1530.34,1.5489,2.22858,1.21197,1.46664,0.62458,0.51448,0.55629,0.26176,0.62701,0.49855,0.54128,0.24422,1.88121,2.92413,1.67904,1.77175,0.001802,0.001802,0.001802
12,1668.25,1.41749,2.0596,1.09116,1.37618,0.63841,0.54854,0.57569,0.27257,0.66507,0.52601,0.56658,0.25227,1.75606,2.74104,1.67322,1.67112,0.0017822,0.0017822,0.0017822
13,1804.67,1.40039,2.05818,1.03438,1.36049,0.67438,0.52975,0.60788,0.30574,0.66971,0.52457,0.59775,0.28803,1.80076,2.69306,1.63276,1.74281,0.0017624,0.0017624,0.0017624
14,1944.67,1.37826,1.96763,0.97067,1.35674,0.63824,0.5448,0.60023,0.3048,0.65366,0.52601,0.57779,0.27238,1.74314,2.816,1.59467,1.73223,0.0017426,0.0017426,0.0017426
15,2083.1,1.31181,1.89453,0.93911,1.30861,0.61968,0.58237,0.60004,0.29501,0.61205,0.56792,0.58717,0.28725,1.82277,2.87082,1.63587,1.70484,0.0017228,0.0017228,0.0017228
16,2221.14,1.31978,1.84225,0.95057,1.28773,0.65445,0.51445,0.59254,0.30907,0.66649,0.49422,0.58408,0.28834,1.76686,2.73941,1.64113,1.69519,0.001703,0.001703,0.001703
17,2359.67,1.23753,1.7541,0.89758,1.26604,0.6431,0.58671,0.61903,0.31739,0.63518,0.57948,0.61361,0.29598,1.76949,2.77867,1.48371,1.74139,0.0016832,0.0016832,0.0016832
18,2496.75,1.15802,1.67112,0.82552,1.18555,0.64422,0.56358,0.61636,0.33288,0.67025,0.54046,0.61571,0.31148,1.7329,2.81246,1.60848,1.68051,0.0016634,0.0016634,0.0016634
19,2634.97,1.16695,1.68957,0.84432,1.20664,0.66673,0.58671,0.64358,0.33179,0.68089,0.56792,0.62912,0.30485,1.75471,2.88972,1.57371,1.69789,0.0016436,0.0016436,0.0016436
20,2773.41,1.13898,1.67581,0.82531,1.18246,0.63566,0.54962,0.60281,0.32049,0.64374,0.55096,0.60439,0.28578,1.65716,2.71789,1.62656,1.64203,0.0016238,0.0016238,0.0016238
21,2910.36,1.08788,1.56944,0.75359,1.13109,0.67296,0.57803,0.62232,0.31824,0.66446,0.5737,0.60368,0.2976,1.68627,2.87838,1.63269,1.68855,0.001604,0.001604,0.001604
22,3046.77,1.0455,1.46241,0.72882,1.11887,0.66452,0.59539,0.6288,0.33808,0.65443,0.59393,0.62376,0.31286,1.70811,2.89158,1.68288,1.65433,0.0015842,0.0015842,0.0015842
23,3184.81,1.0451,1.49523,0.72261,1.12039,0.67487,0.57892,0.61974,0.33594,0.68022,0.56252,0.60856,0.31393,1.75234,2.82545,1.6511,1.65928,0.0015644,0.0015644,0.0015644
24,3321.45,1.01517,1.42448,0.70431,1.10398,0.73979,0.58526,0.65311,0.33515,0.7391,0.58526,0.64271,0.30873,1.74942,3.11618,1.57408,1.78028,0.0015446,0.0015446,0.0015446
25,3418.14,1.00341,1.39911,0.69402,1.10312,0.67886,0.58815,0.62972,0.33282,0.7479,0.54624,0.62267,0.30111,1.73192,3.07615,1.68898,1.72845,0.0015248,0.0015248,0.0015248
26,3535.88,0.99879,1.42443,0.7047,1.0972,0.68379,0.61874,0.66054,0.35901,0.6753,0.6185,0.65543,0.33243,1.67481,3.07808,1.50659,1.7133,0.001505,0.001505,0.001505
27,3676.11,0.95523,1.3454,0.68006,1.07745,0.66076,0.60983,0.64346,0.32604,0.65027,0.59249,0.6207,0.29784,1.69956,3.09733,1.57168,1.70371,0.0014852,0.0014852,0.0014852
28,3814.57,0.93826,1.31249,0.64588,1.05285,0.74237,0.58815,0.65297,0.34598,0.74237,0.58815,0.64794,0.3218,1.6406,3.04276,1.63668,1.65215,0.0014654,0.0014654,0.0014654
29,3949.63,0.89665,1.23093,0.60394,1.0263,0.75291,0.58815,0.66091,0.35599,0.73974,0.57948,0.64241,0.31683,1.68344,3.0375,1.60431,1.69369,0.0014456,0.0014456,0.0014456
30,4088.38,0.91508,1.21881,0.61473,1.0388,0.68167,0.60983,0.65958,0.3592,0.69466,0.59393,0.64626,0.32732,1.68769,3.13967,1.56054,1.72742,0.0014258,0.0014258,0.0014258
31,4224.51,0.85988,1.17941,0.58956,1.0155,0.71439,0.5928,0.67159,0.36678,0.70743,0.58702,0.66361,0.32825,1.65977,3.23397,1.50454,1.71905,0.001406,0.001406,0.001406
32,4363.54,0.84604,1.12859,0.56836,1.01224,0.71668,0.57514,0.64745,0.33963,0.72582,0.55636,0.63468,0.30857,1.69254,3.21234,1.56949,1.74402,0.0013862,0.0013862,0.0013862
33,4498.01,0.81302,1.08154,0.56666,1.01177,0.75653,0.58526,0.67072,0.35807,0.76279,0.5737,0.64804,0.32607,1.69738,3.31442,1.69231,1.68846,0.0013664,0.0013664,0.0013664
34,4637.04,0.81679,1.08171,0.55687,1.00716,0.72101,0.59827,0.67308,0.36656,0.71929,0.58875,0.65355,0.32081,1.63072,3.27769,1.58053,1.6827,0.0013466,0.0013466,0.0013466
35,4772.6,0.80767,1.06361,0.56197,0.99728,0.69421,0.61705,0.66825,0.37117,0.6874,0.60696,0.65351,0.32939,1.67471,3.18772,1.75455,1.68991,0.0013268,0.0013268,0.0013268
36,4912.32,0.77492,1.06422,0.55274,0.98047,0.73993,0.59249,0.6722,0.36464,0.73722,0.59104,0.66006,0.32661,1.66542,3.29714,1.51798,1.68749,0.001307,0.001307,0.001307
37,5048.4,0.75709,1.00598,0.53264,0.9628,0.70488,0.61416,0.66894,0.37367,0.73078,0.59538,0.66652,0.34355,1.69288,3.23899,1.56925,1.76671,0.0012872,0.0012872,0.0012872
38,5187.53,0.73902,1.01521,0.52139,0.93753,0.79294,0.58526,0.68409,0.38246,0.78277,0.57659,0.67208,0.34382,1.68149,3.47337,1.56989,1.77765,0.0012674,0.0012674,0.0012674
39,5321.9,0.72052,0.95669,0.50583,0.93059,0.74818,0.58092,0.65868,0.37324,0.76892,0.56214,0.64827,0.33944,1.65565,3.28315,1.68518,1.74582,0.0012476,0.0012476,0.0012476
40,5610.54,0.70673,0.93016,0.49628,0.93646,0.72959,0.58671,0.65887,0.37153,0.70728,0.59538,0.66049,0.33269,1.63,3.52945,1.5453,1.70677,0.0012278,0.0012278,0.0012278
41,5799.81,0.70554,0.89361,0.49582,0.93422,0.7467,0.57935,0.66948,0.37447,0.73197,0.56792,0.65616,0.33597,1.64971,3.51692,1.59326,1.70463,0.001208,0.001208,0.001208
42,5938.48,0.67367,0.82623,0.47275,0.93411,0.7649,0.583,0.67912,0.37657,0.79654,0.54191,0.65813,0.34039,1.62383,3.68336,1.53852,1.72848,0.0011882,0.0011882,0.0011882
43,6074.93,0.68452,0.8275,0.47718,0.92111,0.76494,0.58671,0.6825,0.38627,0.73165,0.58705,0.65935,0.3421,1.61411,3.70711,1.54826,1.69803,0.0011684,0.0011684,0.0011684
44,6213.39,0.64647,0.78588,0.44956,0.90307,0.76187,0.59393,0.68794,0.38291,0.74792,0.59393,0.67685,0.3473,1.63116,3.8193,1.51816,1.71429,0.0011486,0.0011486,0.0011486
45,6350.48,0.64926,0.78817,0.45154,0.91299,0.72042,0.64451,0.68644,0.38459,0.78852,0.57115,0.66559,0.34673,1.6473,3.78189,1.58655,1.74944,0.0011288,0.0011288,0.0011288
46,6487.87,0.61945,0.76762,0.44,0.89889,0.71402,0.62717,0.68244,0.38385,0.76362,0.58355,0.67284,0.35498,1.62851,3.8792,1.55813,1.70502,0.001109,0.001109,0.001109
47,6625.91,0.60492,0.73857,0.43712,0.89962,0.69285,0.64868,0.67133,0.37465,0.72277,0.60116,0.65488,0.33574,1.64901,4.02367,1.56338,1.76533,0.0010892,0.0010892,0.0010892
48,6763.07,0.59952,0.70332,0.42752,0.89677,0.7353,0.61272,0.6778,0.38628,0.75109,0.5896,0.66074,0.34387,1.62544,4.08608,1.6161,1.78678,0.0010694,0.0010694,0.0010694
49,6899.68,0.61206,0.69799,0.42628,0.88963,0.71259,0.61272,0.67682,0.38887,0.73622,0.57675,0.65533,0.34547,1.61498,3.92713,1.60497,1.76274,0.0010496,0.0010496,0.0010496
50,7037.22,0.58992,0.67925,0.41283,0.87769,0.70337,0.60651,0.67208,0.38092,0.7529,0.57081,0.65851,0.33314,1.65776,4.21736,1.57867,1.80628,0.0010298,0.0010298,0.0010298
51,7173.19,0.5624,0.67078,0.40006,0.8775,0.69816,0.63873,0.68138,0.3896,0.77232,0.58334,0.67235,0.34657,1.60365,4.20962,1.54727,1.76718,0.00101,0.00101,0.00101
52,7310.53,0.56498,0.6703,0.40887,0.86887,0.76809,0.58237,0.67859,0.38307,0.75769,0.56358,0.66384,0.33624,1.61968,4.22942,1.54194,1.73962,0.0009902,0.0009902,0.0009902
53,7446.76,0.53592,0.64109,0.38588,0.85543,0.71965,0.61705,0.68245,0.39344,0.75939,0.59104,0.67224,0.3504,1.63918,4.18832,1.61523,1.7929,0.0009704,0.0009704,0.0009704
54,7584.61,0.54459,0.61563,0.39025,0.8721,0.78615,0.6026,0.6966,0.394,0.79016,0.59682,0.689,0.35528,1.59597,4.26896,1.52113,1.75582,0.0009506,0.0009506,0.0009506
