epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.4762,1.28102,2.86133,2.21418,1.41408,0.2899,0.40456,0.3014,0.15846,0.29267,0.39744,0.30102,0.16622,1.56845,3.13174,6.44758,1.70747,0.000662037,0.000662037,0.000662037
2,42.0317,1.28766,2.50519,1.53784,1.37911,0.41623,0.40028,0.34173,0.24105,0.41743,0.39909,0.3408,0.25155,1.67634,3.09619,7.13494,1.84185,0.00131555,0.00131555,0.00131555
3,62.5154,1.25961,2.42119,1.46918,1.36434,0.54904,0.42593,0.46688,0.33502,0.54188,0.4188,0.44975,0.31782,1.24435,2.30012,3.54972,1.32818,0.00195586,0.00195586,0.00195586
4,83.1396,1.20541,2.20658,1.34876,1.31899,0.74615,0.52564,0.61166,0.41182,0.75245,0.52391,0.61152,0.44534,1.28136,1.91554,4.33811,1.33246,0.0019406,0.0019406,0.0019406
5,103.848,1.14094,2.16126,1.26957,1.27256,0.69099,0.44596,0.48102,0.32177,0.7074,0.42735,0.46163,0.22172,1.33052,3.44073,2.855,1.38215,0.0019208,0.0019208,0.0019208
6,128.981,1.09652,2.14183,1.19755,1.24919,0.69097,0.53561,0.59993,0.42173,0.71855,0.51709,0.58813,0.38386,1.15077,2.37278,2.2272,1.21898,0.001901,0.001901,0.001901
7,148.909,1.0593,2.01524,1.14665,1.22411,0.81572,0.63105,0.70985,0.52289,0.80374,0.63004,0.69943,0.52789,1.05152,1.74749,1.47475,1.16385,0.0018812,0.0018812,0.0018812
8,169.378,1.0299,1.98561,1.10707,1.19812,0.82314,0.64815,0.72072,0.54266,0.82804,0.65242,0.71967,0.54226,1.00265,1.5964,1.52766,1.08435,0.0018614,0.0018614,0.0018614
9,189.882,0.99262,1.94695,1.01862,1.17885,0.75871,0.66524,0.70734,0.52735,0.75097,0.65812,0.69674,0.52507,0.99863,1.56848,1.20622,1.07908,0.0018416,0.0018416,0.0018416
10,209.613,0.99792,1.91913,1.03999,1.16486,0.79454,0.53419,0.60301,0.43548,0.80112,0.54131,0.59779,0.39332,1.10831,2.39579,2.38645,1.16413,0.0018218,0.0018218,0.0018218
11,229.473,0.96616,1.82147,1.00591,1.16498,0.60708,0.53276,0.53554,0.38075,0.60708,0.53276,0.53201,0.38122,1.24524,1.56984,1.95064,1.25188,0.001802,0.001802,0.001802
12,249.332,0.96631,1.85622,0.97751,1.16541,0.71954,0.53846,0.57818,0.42166,0.72335,0.54131,0.57401,0.41885,1.07336,1.58834,2.81471,1.12455,0.0017822,0.0017822,0.0017822
13,268.784,0.93475,1.74621,0.92501,1.14523,0.88315,0.64596,0.75598,0.58557,0.88315,0.64596,0.75175,0.56137,0.90904,1.51754,1.1506,1.03242,0.0017624,0.0017624,0.0017624
14,289.429,0.91377,1.804,0.89111,1.12419,0.87566,0.63201,0.73163,0.57331,0.87763,0.63343,0.72744,0.56735,0.95115,1.48343,1.12307,1.06003,0.0017426,0.0017426,0.0017426
15,309.415,0.91513,1.77077,0.90378,1.12751,0.86585,0.63533,0.74313,0.56757,0.86198,0.63167,0.72983,0.54605,0.93487,1.51644,1.0425,1.0267,0.0017228,0.0017228,0.0017228
16,328.646,0.90015,1.73537,0.89154,1.11344,0.86347,0.66097,0.75791,0.52698,0.86161,0.65954,0.75574,0.52743,1.13871,1.59508,1.07765,1.16526,0.001703,0.001703,0.001703
17,348.167,0.89336,1.70019,0.87078,1.11223,0.86865,0.66097,0.75529,0.57716,0.869,0.66382,0.74987,0.58326,0.92323,1.43736,0.99181,1.05742,0.0016832,0.0016832,0.0016832
18,368.398,0.88933,1.69992,0.87096,1.1146,0.91551,0.66239,0.78096,0.59571,0.91361,0.66952,0.77395,0.5834,0.94663,1.44846,0.95167,1.05047,0.0016634,0.0016634,0.0016634
19,388.802,0.89807,1.66779,0.8536,1.11635,0.87096,0.7037,0.79569,0.62585,0.86729,0.7037,0.79823,0.63867,0.86303,1.39368,0.94225,0.98984,0.0016436,0.0016436,0.0016436
20,409.192,0.87451,1.65271,0.84205,1.10282,0.85474,0.68734,0.76687,0.61973,0.85297,0.68592,0.76168,0.59109,0.84629,1.527,0.8972,0.99482,0.0016238,0.0016238,0.0016238
21,428.938,0.87665,1.66814,0.83583,1.09893,0.88283,0.71368,0.79375,0.6203,0.8823,0.7094,0.78475,0.61071,0.8543,1.39063,0.89492,1.01096,0.001604,0.001604,0.001604
22,448.496,0.84947,1.66091,0.8108,1.08952,0.80876,0.72292,0.77545,0.60931,0.80859,0.71612,0.76723,0.59535,0.88389,1.38622,1.00485,1.05572,0.0015842,0.0015842,0.0015842
23,468.035,0.85142,1.67659,0.83518,1.0945,0.87116,0.70085,0.79793,0.62826,0.8787,0.70172,0.78997,0.60614,0.86993,1.37861,0.82383,1.04522,0.0015644,0.0015644,0.0015644
24,487.309,0.83482,1.6065,0.78556,1.09084,0.86337,0.74074,0.80892,0.6536,0.85367,0.73219,0.79732,0.63043,0.80542,1.33823,0.85668,0.98665,0.0015446,0.0015446,0.0015446
25,507.919,0.83967,1.61136,0.79237,1.08707,0.8689,0.69516,0.77653,0.62459,0.84406,0.70655,0.77608,0.59723,0.8285,1.31389,1.04995,1.00199,0.0015248,0.0015248,0.0015248
26,527.401,0.80027,1.59549,0.74991,1.06659,0.87511,0.69871,0.78362,0.63057,0.87333,0.69729,0.77929,0.62596,0.82085,1.26005,0.9218,0.98182,0.001505,0.001505,0.001505
27,546.7,0.82746,1.54297,0.76348,1.07791,0.79912,0.70267,0.77195,0.62377,0.80252,0.70045,0.76713,0.61543,0.82521,1.3573,0.9529,0.98589,0.0014852,0.0014852,0.0014852
28,566.741,0.81887,1.60034,0.76418,1.06966,0.84548,0.74046,0.81115,0.64868,0.84674,0.74359,0.81051,0.63316,0.77833,1.35703,0.81779,0.94692,0.0014654,0.0014654,0.0014654
29,586.349,0.78269,1.60558,0.74837,1.06152,0.9377,0.68615,0.809,0.64198,0.93774,0.68655,0.79743,0.62665,0.81327,1.24758,0.78584,0.98492,0.0014456,0.0014456,0.0014456
30,605.93,0.80967,1.56532,0.75685,1.06792,0.90749,0.64279,0.75947,0.59696,0.90752,0.643,0.7549,0.59249,0.84246,1.40097,1.0264,0.99513,0.0014258,0.0014258,0.0014258
31,625.661,0.78474,1.49429,0.7285,1.05512,0.90447,0.70134,0.8024,0.65075,0.89913,0.70513,0.7955,0.63198,0.76677,1.24309,0.80409,0.97918,0.001406,0.001406,0.001406
32,645.641,0.78824,1.4963,0.70795,1.04671,0.88913,0.70798,0.81886,0.6636,0.89271,0.71083,0.80483,0.64491,0.75512,1.23775,0.79383,0.94715,0.0013862,0.0013862,0.0013862
33,666.058,0.74716,1.4953,0.67077,1.04476,0.92763,0.69088,0.80595,0.64562,0.92651,0.69088,0.79849,0.63591,0.77439,1.31933,0.77461,0.98195,0.0013664,0.0013664,0.0013664
34,685.512,0.78563,1.48781,0.71571,1.05533,0.94058,0.651,0.77355,0.63602,0.93738,0.64815,0.77206,0.61329,0.74213,1.29763,0.91129,0.93644,0.0013466,0.0013466,0.0013466
35,705.666,0.77145,1.49846,0.71111,1.05369,0.90539,0.70884,0.82495,0.67289,0.90073,0.71368,0.82038,0.64903,0.71938,1.22761,0.81375,0.92478,0.0013268,0.0013268,0.0013268
36,726.387,0.74558,1.44837,0.70646,1.03566,0.87736,0.71368,0.82219,0.66557,0.8672,0.71652,0.81457,0.65231,0.78969,1.19603,0.75929,0.94705,0.001307,0.001307,0.001307
37,745.955,0.75244,1.44454,0.68531,1.0411,0.88804,0.71185,0.83012,0.6808,0.88983,0.71225,0.81892,0.64916,0.73788,1.20051,0.7317,0.9299,0.0012872,0.0012872,0.0012872
38,766.271,0.74762,1.43683,0.67713,1.03513,0.89867,0.70228,0.81252,0.66082,0.89675,0.70085,0.80819,0.63578,0.76408,1.2609,0.78221,0.946,0.0012674,0.0012674,0.0012674
39,786.545,0.74805,1.5167,0.67248,1.03933,0.90864,0.70841,0.83149,0.66523,0.90535,0.70852,0.8243,0.64139,0.77835,1.22132,0.74245,0.96514,0.0012476,0.0012476,0.0012476
40,806.597,0.73728,1.42059,0.6656,1.03101,0.91043,0.70949,0.79686,0.65371,0.90677,0.70664,0.79449,0.62407,0.71445,1.23513,0.94781,0.9256,0.0012278,0.0012278,0.0012278
41,826.745,0.74277,1.45949,0.66336,1.04488,0.88067,0.72222,0.81491,0.66382,0.87831,0.71972,0.80484,0.64438,0.71984,1.2554,0.76177,0.95306,0.001208,0.001208,0.001208
42,846.658,0.73609,1.37262,0.62954,1.02353,0.86862,0.72365,0.82666,0.68394,0.8686,0.72507,0.82232,0.65863,0.70506,1.2028,0.74457,0.93807,0.0011882,0.0011882,0.0011882
43,867.136,0.72936,1.42354,0.67048,1.02936,0.88303,0.74199,0.83097,0.67242,0.87429,0.74501,0.82312,0.6477,0.72093,1.2213,0.77153,0.93803,0.0011684,0.0011684,0.0011684
44,886.677,0.72332,1.39334,0.64718,1.02375,0.87529,0.73504,0.82624,0.67588,0.87854,0.73504,0.8229,0.65116,0.72035,1.21393,0.74766,0.93698,0.0011486,0.0011486,0.0011486
45,908.115,0.71987,1.38119,0.64906,1.01992,0.85989,0.73362,0.82826,0.67635,0.86658,0.73077,0.82271,0.65048,0.71866,1.18719,0.74831,0.94061,0.0011288,0.0011288,0.0011288
