epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,354.565,0.9139,1.87755,0.95432,1.14006,0,0.90288,0.72256,0.82621,0.65864,0.85858,0.64675,0.68339,0.50329,0.74954,1.2169,0.63987,0.97686,0,0.00999167,0.00333056,0.00999167,0.00333056,0.00999167,0.00333056,0.00999167,0.00333056
2,546.003,0.84729,1.52334,0.74604,1.07241,0,0.91048,0.71686,0.81729,0.61275,0.87414,0.63289,0.67027,0.46683,0.87749,1.28082,0.70785,1.02557,0,0.0197937,0.00659792,0.0197937,0.00659792,0.0197937,0.00659792,0.0197937,0.00659792
3,754.155,0.91778,1.57855,0.80484,1.10961,0,0.90043,0.71686,0.81736,0.61951,0.88367,0.61765,0.6525,0.47937,0.83898,1.31651,0.71589,1.03329,0,0.0293978,0.00979928,0.0293978,0.00979928,0.0293978,0.00979928,0.0293978,0.00979928
4,1063.52,0.92331,1.59695,0.80788,1.11383,0,0.89179,0.73163,0.82564,0.63743,0.85811,0.62904,0.68116,0.50315,0.80345,1.21627,0.68363,1.01415,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1329.11,0.8727,1.46953,0.74739,1.09231,0,0.90698,0.74211,0.84076,0.66924,0.86996,0.63989,0.69204,0.52295,0.73263,1.17027,0.62285,0.9813,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1582.49,0.82961,1.40662,0.70514,1.07191,0,0.9129,0.74434,0.84917,0.67358,0.87849,0.66912,0.71581,0.54206,0.73638,1.10875,0.59226,0.97379,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1840.2,0.80303,1.35415,0.67975,1.05776,0,0.91398,0.75538,0.8527,0.68353,0.8686,0.6727,0.72174,0.54198,0.69972,1.07876,0.57658,0.95937,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2143.63,0.79355,1.35557,0.67154,1.05363,0,0.91883,0.7665,0.86188,0.70006,0.85236,0.68026,0.72875,0.54435,0.67743,1.03436,0.58165,0.93416,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2403.11,0.76578,1.29826,0.64491,1.04091,0,0.92419,0.76738,0.8675,0.71422,0.88038,0.69165,0.75087,0.57967,0.64558,0.99826,0.52425,0.92925,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2583.75,0.74923,1.27219,0.63116,1.03169,0,0.92143,0.78121,0.87004,0.71964,0.88116,0.69544,0.76001,0.58973,0.63347,0.96323,0.51004,0.9246,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2777.44,0.73856,1.23373,0.61215,1.02919,0,0.93071,0.76841,0.86943,0.71735,0.88558,0.70301,0.75632,0.57776,0.63758,0.9952,0.5064,0.92155,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
