epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.2786,1.17001,2.431,1.8931,1.36402,0.6844,0.46787,0.51099,0.28539,0.67328,0.44602,0.47198,0.24847,1.61162,5.81439,2.46795,1.88561,0.000661836,0.000661836,0.000661836
2,46.0988,1.19708,2.14276,1.29597,1.33126,0.6294,0.59897,0.57811,0.35178,0.61248,0.57326,0.55612,0.35405,1.3909,3.35873,1.67124,1.63836,0.00131535,0.00131535,0.00131535
3,64.6867,1.16531,2.05083,1.20601,1.30277,0.43554,0.5527,0.39557,0.23673,0.48106,0.51671,0.40385,0.25042,1.28986,2.42231,3.07622,1.53185,0.00195566,0.00195566,0.00195566
4,82.7345,1.14041,1.93277,1.1157,1.30981,0.66396,0.55013,0.58415,0.38624,0.66518,0.55158,0.58226,0.38972,1.24761,2.40838,1.65691,1.3583,0.0019406,0.0019406,0.0019406
5,100.896,1.08349,1.84559,1.06464,1.25618,0.86231,0.61825,0.7031,0.50115,0.86262,0.62211,0.70248,0.49932,1.11673,1.80337,1.51447,1.25039,0.0019208,0.0019208,0.0019208
6,119.17,1.06944,1.79766,1.01765,1.24801,0.87968,0.48715,0.62503,0.44745,0.89964,0.47686,0.6138,0.43048,1.12661,1.86694,1.33451,1.27458,0.001901,0.001901,0.001901
7,136.897,1.01213,1.80466,0.96418,1.22991,0.85333,0.63562,0.72175,0.50475,0.85562,0.61698,0.69911,0.43565,1.01515,2.86425,1.12206,1.16526,0.0018812,0.0018812,0.0018812
8,154.764,1.02179,1.78519,0.95158,1.21879,0.7816,0.47558,0.56658,0.4051,0.77701,0.46272,0.54847,0.28222,1.08701,2.56813,2.10699,1.19677,0.0018614,0.0018614,0.0018614
9,172.757,0.94787,1.63673,0.9012,1.18118,0.81468,0.65424,0.70341,0.52141,0.8135,0.65038,0.69958,0.50156,0.92055,1.66209,1.21477,1.1126,0.0018416,0.0018416,0.0018416
10,191.026,0.95926,1.65452,0.88804,1.18524,0.87093,0.56812,0.66014,0.47825,0.8729,0.56941,0.65415,0.46967,1.0713,1.77547,1.25259,1.21502,0.0018218,0.0018218,0.0018218
11,208.17,0.92144,1.61641,0.83862,1.1656,0.78817,0.56913,0.65964,0.50511,0.80009,0.56588,0.65776,0.49049,0.94036,1.62423,1.02032,1.10097,0.001802,0.001802,0.001802
12,225.464,0.8929,1.48916,0.80691,1.15207,0.8175,0.69666,0.75683,0.53729,0.83684,0.68895,0.75514,0.55507,0.9684,1.64647,0.94907,1.10247,0.0017822,0.0017822,0.0017822
13,243.877,0.93364,1.65106,0.86193,1.17095,0.91143,0.60846,0.73619,0.55783,0.91528,0.61103,0.73531,0.56886,0.91403,1.43013,0.97289,1.06782,0.0017624,0.0017624,0.0017624
14,262.069,0.87979,1.52002,0.79493,1.13769,0.87798,0.66967,0.72631,0.56185,0.87734,0.66967,0.72705,0.53936,0.86027,1.55675,1.06458,1.04439,0.0017426,0.0017426,0.0017426
15,279.795,0.90065,1.58549,0.82349,1.14191,0.82656,0.68766,0.73897,0.55556,0.83124,0.68766,0.73889,0.55221,0.92785,1.46003,0.99983,1.07267,0.0017228,0.0017228,0.0017228
16,297.442,0.85549,1.48843,0.75775,1.12784,0.88186,0.63753,0.7402,0.55317,0.87895,0.63496,0.73373,0.53717,0.81714,1.45304,0.92151,1.00719,0.001703,0.001703,0.001703
17,314.929,0.86347,1.47855,0.76577,1.1296,0.80214,0.7087,0.76333,0.59656,0.8081,0.70694,0.76754,0.58411,0.78727,1.37432,0.76942,0.99548,0.0016832,0.0016832,0.0016832
18,333.157,0.84418,1.48502,0.72966,1.11422,0.86005,0.72673,0.78786,0.60204,0.86317,0.72879,0.78643,0.59468,0.82332,1.4313,0.7581,1.02011,0.0016634,0.0016634,0.0016634
19,350.993,0.83904,1.50235,0.72964,1.12338,0.92781,0.66083,0.78322,0.59927,0.92774,0.66013,0.77633,0.59573,0.84871,1.47065,0.7681,1.02008,0.0016436,0.0016436,0.0016436
20,368.682,0.83943,1.45414,0.72299,1.11369,0.86064,0.71851,0.78408,0.59931,0.86526,0.72237,0.7843,0.59002,0.82967,1.45,0.85427,1.03647,0.0016238,0.0016238,0.0016238
21,386.31,0.8174,1.5096,0.7123,1.10419,0.83528,0.69794,0.77814,0.60528,0.8235,0.70308,0.77952,0.58899,0.75477,1.35014,0.80653,0.94461,0.001604,0.001604,0.001604
22,403.837,0.82038,1.45784,0.69964,1.12335,0.81296,0.71512,0.76762,0.59845,0.8181,0.72262,0.77406,0.59206,0.79938,1.33446,0.79542,0.97915,0.0015842,0.0015842,0.0015842
23,421.494,0.81768,1.40619,0.73356,1.10584,0.90042,0.68509,0.77567,0.59372,0.909,0.69333,0.7813,0.61059,0.82956,1.30612,0.80469,1.00885,0.0015644,0.0015644,0.0015644
24,439.865,0.80172,1.50977,0.70555,1.10681,0.88887,0.66324,0.78523,0.61157,0.89312,0.66594,0.78889,0.60536,0.78263,1.30788,0.77069,0.98171,0.0015446,0.0015446,0.0015446
